HOA,address,baths,beds,desc,homeOwnersInsurance,listingStatus,lotSize,mainImage,mlsNumber,parking,price,pricePerSqft,principalInterest,propertyTax,propertyType,rentalEarnings,scrapeDate,source,sqft,url,yearBuilt,rentalEarningsRawResponse,rentalLow,rentalHigh,rentalEarningsSource
$783/mo,"185 SW 7th St #2808, Miami, FL 33130",1,1,"Listing at 185 SW 7th St #2808, Miami, FL 33130",303,For sale,,https://ssl.cdn-redfin.com/photo/105/bigphoto/781/A11869781_0.jpg,#A11869781,1 car garage,455000,$581 ,"$2,361 ",419,Condo,2880,2025-09-03T01:03:53.613Z,Redfin,783,https://www.redfin.com/FL/Miami/185-SW-7th-St-33130/unit-2808/home/43395160,2007,[object Object],2800,2960,RentCast
$525/mo,"Undisclosed Address, Miami, FL 33130",1,2,"Listing at Undisclosed Address, Miami, FL 33130",167,For sale,,https://ssl.cdn-redfin.com/photo/105/bigphoto/678/A11860678_0.jpg,#A11860678,1 car garage,250000,$303 ,"$1,297 ",291,Condo,2140,2025-09-03T01:04:17.549Z,Redfin,825,https://www.redfin.com/FL/Miami/Undisclosed-address-33130/home/43345175,1948,[object Object],2060,2220,RentCast
"$1,405/mo","92 SW 3rd St #3803, Miami, FL 33130",2.5,3,"Listing at 92 SW 3rd St #3803, Miami, FL 33130",473,For sale,,https://ssl.cdn-redfin.com/photo/105/bigphoto/750/A11869750_3.jpg,#A11869750,1 car garage,710000,$575 ,"$3,684 ",1003,Condo,1035,2025-09-03T01:04:51.151Z,Redfin,1235,https://www.redfin.com/FL/Miami/92-SW-3rd-St-33130/unit-3803/home/43444679,2010,,,,
,"10245 SW 125th Ave, Miami, FL 33186",5,5,"Listing at 10245 SW 125th Ave, Miami, FL 33186",1667,For sale,1.16 acres,https://ssl.cdn-redfin.com/photo/105/bigphoto/871/A11870871_0.jpg,#A11870871,1 space,2500000,$911 ,"$12,972 ",826,Single Family,4713,2025-09-03T01:05:31.340Z,Redfin,2745,https://www.redfin.com/FL/Miami/10245-SW-125th-Ave-33186/home/43179352,1961,,,,
,"9935 SW 132nd Ct, Miami, FL 33186",2,3,"Listing at 9935 SW 132nd Ct, Miami, FL 33186",500,For sale,0.26 acres,https://ssl.cdn-redfin.com/photo/105/bigphoto/197/A11870197_2.jpg,#A11870197,2 car garage,749990,$511 ,"$3,892 ",320,Single Family,3353,2025-09-03T01:06:04.863Z,Redfin,1468,https://www.redfin.com/FL/Miami/9935-SW-132nd-Ct-33186/home/43182837,1980,,,,
,"665 Silver Lake Blvd, Los Angeles, CA 90026",5,7,"Listing at 665 Silver Lake Blvd, Los Angeles, CA 90026",267,For sale,"5,936 sq ft",https://ssl.cdn-redfin.com/photo/45/bigphoto/999/SR25194999_0.jpg,#SR25194999,2 garage spaces,999999,$260 ,"$5,189 ",1042,Multi-Family,4190,2025-09-03T01:06:46.703Z,Redfin,3850,https://www.redfin.com/CA/Los-Angeles/665-Silver-Lake-Blvd-90026/home/7051755,1956,[object Object],2260,6110,RentCast
,"3117 Berkeley Ave, Los Angeles, CA 90026",3,3,"Listing at 3117 Berkeley Ave, Los Angeles, CA 90026",425,For sale,"2,933 sq ft",https://ssl.cdn-redfin.com/photo/45/bigphoto/898/P1-23898_0.jpg,#P1-23898,1 car garage,1595000,"$1,176 ","$8,276 ",1661,Single Family,5234,2025-09-03T01:07:08.539Z,Redfin,1356,https://www.redfin.com/CA/Los-Angeles/3117-Berkeley-Ave-90026/home/7058843,1925,,,,
$558/mo,"4004 Banister Ln #215, Austin, TX 78704",2,2,"Listing at 4004 Banister Ln #215, Austin, TX 78704",363,For sale,"2,539 sq ft",https://ssl.cdn-redfin.com/system_files/media/1136434_JPG/item_8.jpg,#3282967,,495000,$403 ,"$2,568 ",816,Condo,3190,2025-09-03T01:07:45.168Z,Redfin,1227,https://www.redfin.com/TX/Austin/4004-Banister-Ln-78704/unit-215/home/187491980,2022,[object Object],2740,3630,RentCast
$387/mo,"2707 Dulce Ln #15, Austin, TX 78704",2.5,3,"Listing at 2707 Dulce Ln #15, Austin, TX 78704",568,For sale,1.38 acres,https://ssl.cdn-redfin.com/photo/92/bigphoto/167/6040167_2.jpg,#6040167,,775000,$453 ,"$4,021 ",1151,Condo,4090,2025-09-03T01:08:22.601Z,Redfin,1709,https://www.redfin.com/TX/Austin/2707-Dulce-Ln-78704/unit-15/home/191776473,2024,[object Object],3900,4280,RentCast
,"118 16th Ave, Seattle, WA 98122",2,4,"Listing at 118 16th Ave, Seattle, WA 98122",316,For sale,"3,840 sq ft",https://ssl.cdn-redfin.com/photo/1/bigphoto/051/2428051_0.jpg,#2428051,1 car garage,1149950,$483 ,"$5,967 ",640,Single Family,3800,2025-09-03T01:08:58.017Z,Redfin,2380,https://www.redfin.com/WA/Seattle/118-16th-Ave-98122/home/145615,1900,[object Object],3600,3990,RentCast
